,City,Country,Cloudiness,Humidity,Max Temp.,Wind Speed,Latitude,Longitude
40,Vaini,IN,40,100,68.0,2.59,15.34,74.49
41,Barrow,AR,0,72,38.39,3.98,-38.31,-60.23
42,Quang Ngai,VN,48,58,83.93,2.8,15.12,108.8
43,Victoria,BN,75,74,89.6,5.82,5.28,115.24
44,Banepa,NP,75,94,68.0,2.24,27.63,85.52
45,Hirara,JP,40,65,82.4,12.75,24.8,125.28
46,Imamoglu,TR,0,28,70.0,20.8,37.26,35.66
47,Mar del Plata,AR,0,49,44.69,10.49,-46.43,-67.52
48,Tuatapere,NZ,0,51,64.99,5.01,-46.13,167.69
49,Faya,SA,0,22,59.0,0.43,18.39,42.45
50,San Cristobal,HN,100,89,69.17,2.55,14.68,-86.92
51,Kristinehamn,SE,0,93,48.2,2.24,59.31,14.11
52,Kununurra,AU,0,48,86.0,8.05,-15.77,128.74
53,Busselton,AU,0,45,62.01,10.58,-33.64,115.35
54,Hay River,CA,75,55,66.2,10.29,60.82,-115.79
55,Thinadhoo,MV,100,70,82.31,12.59,0.53,72.93
56,Narsaq,GL,83,93,39.2,2.53,60.91,-46.05
57,Husavik,CA,100,93,57.0,12.35,50.56,-96.99
58,Hilo,US,1,62,86.0,9.17,19.71,-155.08
59,Coihaique,CL,92,99,33.35,3.36,-45.58,-72.07
60,Torbay,CA,5,87,45.0,13.87,47.66,-52.73
61,Avera,US,1,64,75.2,3.36,33.19,-82.53
62,Tasiilaq,GL,100,81,42.8,28.86,65.61,-37.64
63,Carnarvon,ZA,77,80,48.47,16.24,-30.97,22.13
64,Placido de Castro,BR,100,95,73.49,2.13,-10.34,-67.19
65,Pochutla,MX,40,78,80.6,2.15,15.74,-96.47
66,Tuktoyaktuk,CA,90,87,44.6,10.29,69.44,-133.03
67,Marienburg,DE,0,76,55.99,3.36,52.12,9.98
68,Pangnirtung,CA,0,76,26.33,4.76,66.15,-65.72
69,Chuy,UY,0,76,54.59,16.13,-33.69,-53.46
70,Arraial do Cabo,BR,100,94,70.07,11.95,-22.97,-42.02
71,Te Anau,NZ,2,76,49.37,9.48,-45.41,167.72
72,Namatanai,PG,54,74,81.23,3.24,-3.66,152.44
73,Airai,TL,82,51,82.67,6.35,-8.93,125.41
74,Verkhnedneprovskiy,RU,100,93,44.33,9.31,54.98,33.35
75,Avarua,CK,100,88,73.4,2.24,-21.21,-159.78
76,Kapaa,US,20,66,87.8,17.22,22.08,-159.32
77,Itarema,BR,13,82,76.37,10.31,-2.92,-39.92
78,Roald,NO,27,100,48.0,3.36,62.58,6.12
79,Butaritari,KI,0,57,85.19,4.59,3.07,172.79
80,Saint-Paul,FR,75,82,66.99,9.17,45.22,1.9
81,Zermatt,CH,20,48,62.6,2.24,46.02,7.75
82,Puerto Ayora,EC,0,83,68.0,10.0,-0.74,-90.35
83,Faanui,PF,0,84,80.33,15.01,-16.48,-151.75
84,Half Moon Bay,US,1,36,84.2,19.46,37.46,-122.43
85,Cidreira,BR,0,76,54.23,3.83,-30.17,-50.22
86,San Quintin,PH,0,56,82.67,2.68,17.54,120.52
87,Pacific Grove,US,1,32,84.99,6.93,36.62,-121.92
88,Mae Ramat,TH,75,88,78.8,1.12,16.98,98.52
89,Kota Kinabalu,MY,75,70,91.0,3.36,5.98,116.07
90,Yellowknife,CA,75,71,55.4,14.99,62.45,-114.38
91,Flinders,AU,0,26,72.0,11.41,-34.58,150.85
92,Mogadishu,SO,49,79,75.65,14.25,2.04,45.34
93,Omboue,GA,100,87,76.19,14.09,-1.57,9.26
94,Taoudenni,ML,0,10,92.39,7.61,22.68,-3.98
95,Kalininsk,RU,64,82,37.13,8.01,51.5,44.48
96,Riyadh,SA,0,16,78.8,6.93,24.63,46.72
97,Imbituba,BR,75,77,62.6,2.24,-28.24,-48.67
98,Pelym,RU,100,98,40.37,4.27,61.01,62.0
99,Mehamn,NO,100,88,36.41,16.8,71.03,27.85
100,Ancud,CL,75,87,44.6,4.7,-41.87,-73.83
101,Hithadhoo,MV,65,75,82.49,12.75,-0.6,73.08
102,Saint-Philippe,CA,1,93,71.01,4.94,45.36,-73.48
103,Nikolskoye,RU,40,75,42.8,11.18,59.7,30.79
104,Longyearbyen,NO,75,77,32.0,6.93,78.22,15.63
105,Atuona,PF,29,77,80.33,20.58,-9.8,-139.03
106,Esperance,AU,75,54,59.0,10.29,-33.86,121.89
107,Quito,EC,75,100,55.4,5.82,-0.22,-78.51
108,Vostok,RU,0,59,54.23,7.34,46.45,135.83
109,Bredasdorp,ZA,0,93,54.0,8.05,-34.53,20.04
110,Santa Cruz,BR,24,87,68.63,11.81,-6.22,-36.02
111,Jiuquan,CN,0,15,71.15,16.4,39.73,98.49
112,New Norfolk,AU,40,30,57.99,20.8,-42.78,147.06
113,Bakel,SN,4,60,83.03,7.96,14.9,-12.46
114,Port Elizabeth,US,0,77,72.0,4.7,39.31,-74.98
115,Rancho Palos Verdes,US,5,60,84.0,11.41,33.75,-118.37
116,Thompson,CA,90,81,51.8,8.05,55.74,-97.86
117,Paamiut,GL,96,89,39.47,0.13,61.99,-49.67
118,Naze,NG,100,93,74.93,4.29,5.43,7.07
119,Neiafu,TO,99,77,72.41,21.88,-18.65,-173.98
120,Thiruvananthapuram,IN,20,83,80.6,4.7,8.48,76.92
121,Bonthe,SL,100,91,75.83,4.0,7.53,-12.5
122,Cadillac,US,90,88,71.6,12.75,44.25,-85.4
123,Wilmington,US,1,72,72.0,3.62,39.75,-75.55
124,Lavrentiya,RU,100,62,33.17,3.38,65.58,-170.99
125,Yichun,CN,0,55,60.71,6.2,47.72,128.88
126,Fereydun Kenar,IR,90,83,73.4,16.84,36.69,52.52
127,Tadine,NC,66,72,71.51,23.13,-21.55,167.88
128,Simbahan,PH,100,75,82.13,7.74,6.3,120.58
129,Kaupanger,NO,97,95,41.0,1.79,61.18,7.24
130,Chadan,RU,33,60,60.35,2.91,51.29,91.58
131,Irpa Irpa,BO,75,48,64.4,3.36,-17.72,-66.29
132,Georgetown,GY,75,83,80.6,11.41,6.8,-58.16
133,Sorong,ID,61,65,85.01,7.2,-0.86,131.25
134,Los Llanos de Aridane,ES,90,73,73.4,2.24,28.66,-17.92
135,Yuzhno-Kurilsk,RU,100,76,63.41,16.02,44.03,145.86
136,Kaya,NG,54,21,83.57,2.66,13.31,12.68
137,Mahebourg,MU,75,77,69.8,17.22,-20.41,57.7
138,Luderitz,NA,0,62,57.2,23.04,-26.65,15.16
139,Oktyabrskiy,RU,75,93,41.0,6.71,55.61,37.97
140,Nabire,ID,86,55,82.85,3.04,-3.36,135.5
141,Mata,PT,21,99,57.0,6.53,40.68,-7.46
142,Ivankiv,UA,100,82,55.4,11.18,50.93,29.9
143,Ballina,IE,100,99,61.0,19.86,54.11,-9.15
144,Aklavik,CA,90,93,46.4,4.7,68.22,-135.01
145,Simmerath,DE,0,50,57.99,4.7,50.61,6.3
146,Gushikawa,JP,40,78,82.4,19.46,26.35,127.87
147,Haldia,IN,82,67,86.63,5.23,22.03,88.06
148,Poronaysk,RU,4,50,63.59,3.74,49.22,143.1
149,Port Blair,IN,61,82,82.13,16.6,11.67,92.75
150,Castro,CL,75,87,44.6,4.7,-42.48,-73.76
151,Mahibadhoo,MV,100,85,78.53,8.28,3.78,72.97
152,Sassandra,CI,80,93,73.67,0.81,4.95,-6.09
153,Kondoa,TZ,78,95,56.75,5.41,-4.91,35.78
154,Portland,US,1,72,66.2,3.36,43.66,-70.25
155,Nong Chik,TH,72,75,81.41,2.68,6.84,101.18
156,Codrington,AU,40,47,80.6,11.41,-28.95,153.24
157,Tiksi,RU,100,80,38.75,6.35,71.64,128.87
158,Rome,IT,0,40,73.0,4.7,41.89,12.48
159,Cabo San Lucas,MX,75,88,89.01,11.41,22.89,-109.91
160,Jitra,MY,20,88,82.4,2.24,6.27,100.42
161,Kahului,US,40,58,87.8,11.41,20.89,-156.47
162,Saint George,GR,0,87,55.4,0.22,39.45,22.34
163,Solnechnyy,RU,0,49,59.99,3.31,50.72,136.64
164,Haines Junction,CA,94,82,41.09,5.28,60.75,-137.51
165,Marzuq,YE,48,38,70.61,1.57,14.4,46.47
166,Syracuse,US,1,93,66.0,6.85,43.05,-76.15
167,Maragogi,BR,16,95,69.53,3.49,-9.01,-35.22
168,Bealanana,MG,0,82,55.67,10.6,-14.54,48.75
169,Nanortalik,GL,100,92,40.73,6.62,60.14,-45.24
170,Molina,CL,0,58,57.2,5.82,-35.11,-71.28
171,Palmerston,AU,40,55,88.0,10.29,-12.49,130.99
172,Talnakh,RU,75,93,35.6,31.32,69.49,88.39
173,Sao Miguel do Araguaia,BR,94,27,86.81,0.6,-13.28,-50.16
174,Abu Samrah,SY,0,42,59.27,4.56,35.3,37.18
175,Bambous Virieux,MU,75,77,69.8,17.22,-20.34,57.76
176,Kuytun,RU,56,64,57.11,1.54,54.34,101.51
177,Geraldton,CA,75,100,66.2,13.87,49.72,-86.95
178,Chokurdakh,RU,0,53,35.51,6.06,70.62,147.9
179,Cherskiy,RU,100,64,34.07,9.08,68.75,161.3
180,Grindavik,IS,90,87,57.2,19.46,63.84,-22.43
181,Usinsk,RU,98,92,34.79,5.55,66.0,57.56
182,Praia,BR,0,50,78.8,10.29,-20.25,-43.81
183,Vardo,US,1,64,75.2,1.9,39.62,-77.74
184,Mao,DO,40,78,82.4,6.33,19.55,-71.08
185,Akureyri,IS,90,93,41.0,2.24,65.68,-18.09
186,Tomball,US,1,78,82.4,8.05,30.1,-95.62
187,Jacmel,HT,75,88,80.6,5.82,18.24,-72.54
188,Verkhniy baskunchak,KZ,24,64,46.49,8.84,48.23,46.72
189,Dikson,RU,100,96,37.13,16.69,73.51,80.55
190,Qasigiannguit,GL,100,56,44.6,17.22,68.82,-51.19
191,Clyde River,CA,90,97,32.0,21.92,70.47,-68.59
192,Puerto Escondido,MX,85,87,77.81,1.32,15.86,-97.07
193,Gamba,CN,90,62,38.93,4.94,28.28,88.52
194,Awbari,LY,6,31,76.19,10.54,26.59,12.77
195,Bonavista,CA,0,84,44.01,4.0,48.65,-53.11
196,Mingaora,PK,0,59,69.35,0.94,34.78,72.36
197,Biak,ID,36,56,79.07,3.36,-0.91,122.88
198,Port Alfred,ZA,73,81,63.0,7.0,-33.59,26.89
199,Balingen,DE,0,81,55.0,3.36,48.27,8.86
200,Guerrero Negro,MX,0,78,69.53,14.63,27.97,-114.04
201,Calvinia,ZA,74,94,45.59,3.69,-31.47,19.78
202,Salalah,OM,75,83,78.8,4.7,17.01,54.1
203,Lebu,ET,100,96,54.77,1.63,8.96,38.73
204,Karsiyang,IN,40,94,73.4,3.98,26.88,88.28
205,Eyl,SO,100,74,73.13,11.01,7.98,49.82
206,Yinchuan,CN,67,40,64.85,4.32,38.48,106.21
207,Safakulevo,RU,100,95,44.51,7.36,54.99,62.54
208,Provideniya,RU,100,57,34.61,2.71,64.42,-173.23
209,Ossora,RU,63,39,48.29,1.41,59.24,163.07
210,Ninghai,CN,75,94,77.0,17.9,29.29,121.42
211,Buy,RU,100,98,36.59,3.49,58.48,41.53
212,Ceyhan,TR,0,28,70.0,20.8,37.03,35.82
213,Lazaro Cardenas,MX,75,64,75.2,11.41,28.39,-105.62
214,Touros,BR,75,83,75.2,6.93,-5.2,-35.46
215,Panaba,MX,57,81,81.05,10.96,21.28,-88.27
216,Kodiak,US,40,94,75.0,10.29,39.95,-94.76
217,Upernavik,GL,100,72,37.85,7.85,72.79,-56.15
218,Jining,CN,0,28,71.01,9.15,35.41,116.58
219,Rundu,NA,0,19,66.2,3.36,-17.91,19.77
220,Lukovetskiy,RU,40,100,30.2,4.43,64.29,41.92
221,Kenai,US,90,81,54.0,9.17,60.55,-151.26
222,Erdenet,MN,20,51,62.69,4.76,49.03,104.04
223,Winkler,CA,90,100,55.99,6.93,49.19,-97.94
224,Altay,CN,0,29,62.51,2.62,47.83,88.13
225,Iqaluit,CA,40,84,35.6,11.41,63.75,-68.52
226,Rio Cuarto,AR,0,30,55.4,3.4,-33.13,-64.35
227,Sisimiut,GL,100,88,40.19,2.62,66.94,-53.67
228,Pingliang,CN,0,55,58.19,7.43,35.54,106.68
229,Saryg-Sep,RU,94,54,60.71,0.96,51.49,95.55
230,Kidal,ML,0,10,87.71,10.71,18.44,1.41
231,Cabras,CO,100,98,57.0,1.48,5.5,-75.6
232,Myitkyina,MM,100,99,70.07,2.42,25.38,97.4
233,Nome,US,1,88,82.4,5.82,30.04,-94.42
234,Makubetsu,JP,75,72,59.0,1.12,42.84,143.34
235,Emerald,AU,0,39,80.01,11.41,-23.53,148.16
236,Santiago del Estero,AR,0,39,56.03,6.06,-27.8,-64.26
237,Kasongo-Lunda,CD,64,87,66.83,1.61,-6.48,16.82
238,Hearst,CA,100,93,68.09,9.93,49.69,-83.67
239,Sladkovo,RU,100,72,50.99,13.18,55.53,70.34
240,Kruisfontein,ZA,68,85,53.69,18.34,-34.0,24.73
241,Paralia,GR,20,71,62.01,8.05,40.27,22.6
242,Dingle,PH,34,67,86.63,7.92,11.0,122.67
243,Muli,CN,3,50,74.21,8.95,28.08,109.56
244,Honiara,SB,75,83,84.2,11.41,-9.43,159.96
245,La Ronge,CA,20,71,53.6,4.32,55.1,-105.3
246,Bull Savanna,JM,100,81,80.87,6.6,17.89,-77.59
247,Cervo,BR,47,89,63.95,4.23,-22.19,-46.24
248,Khatanga,RU,100,78,40.19,15.52,71.98,102.47
249,Port Moresby,PG,40,74,86.0,13.87,-9.47,147.16
250,Rodrigues Alves,BR,57,92,71.15,2.24,-7.74,-72.65
251,Gazanjyk,TM,83,49,66.29,24.05,39.24,55.52
252,Port Hardy,CA,90,93,57.2,10.29,50.7,-127.42
253,Pitkyaranta,RU,0,78,41.45,21.92,61.57,31.48
254,Sioux Lookout,CA,40,100,64.4,4.7,50.1,-91.92
255,Saldanha,PT,0,86,54.59,2.21,41.42,-6.55
256,Kokopo,PG,92,85,80.51,2.42,-4.34,152.27
257,Harrison,US,1,73,77.0,6.31,39.26,-84.82
258,Brasilia,BR,0,69,77.0,9.17,-10.9,-37.55
259,Jam Sahib,PK,0,74,80.6,4.7,26.3,68.63
260,Genhe,CN,0,49,61.97,9.17,50.78,121.52
261,Mykhaylivka,UA,0,70,51.01,8.95,47.27,35.22
262,Ryotsu,JP,100,72,73.4,8.05,38.08,138.43
263,Sitka,US,100,78,75.0,15.99,37.17,-99.65
264,Hofn,IS,31,86,40.19,0.36,64.25,-15.21
265,Mangai,CD,93,94,70.43,0.72,-4.07,19.59
266,Nueve de Julio,AR,0,18,54.59,2.82,-31.67,-68.39
267,Zhigansk,RU,93,77,45.59,12.82,66.77,123.37
268,Kuminskiy,RU,100,98,41.99,7.0,58.67,66.57
269,La Peca,PE,94,80,68.27,3.27,-5.61,-78.44
270,Rockhampton,AU,6,47,78.8,9.17,-23.38,150.51
271,Angoche,MZ,0,93,65.57,2.71,-16.23,39.91
272,Toora-Khem,RU,98,73,55.49,3.15,52.47,96.11
273,Hualmay,PE,100,92,60.89,15.28,-11.1,-77.61
274,Alta Floresta,BR,4,86,72.77,2.1,-9.87,-56.08
275,Batagay-Alyta,RU,100,84,27.95,3.71,67.8,130.41
276,Mana,NG,0,57,81.41,7.36,13.03,5.27
277,Marsala,IT,0,83,75.2,17.22,37.8,12.44
278,Caravelas,BR,0,84,70.79,6.8,-17.73,-39.27
279,Mabaruma,GY,100,93,75.83,2.93,8.2,-59.78
280,Puertollano,ES,93,82,64.0,4.0,38.69,-4.11
281,Tamandare,BR,96,95,74.21,2.44,-8.28,-70.75
282,Sur,OM,0,45,82.85,10.63,22.57,59.53
283,Belaya Gora,RU,0,52,40.37,5.79,68.54,146.19
284,Kirakira,SB,79,81,81.41,10.71,-10.46,161.92
285,Sadsadan,PH,8,51,82.13,4.94,16.9,120.88
286,Severo-Kurilsk,RU,33,82,47.75,14.63,50.68,156.12
287,Maningrida,AU,33,49,87.53,14.16,-12.05,134.23
288,Ponta do Sol,BR,51,56,74.39,5.82,-20.63,-46.0
289,Havre-Saint-Pierre,CA,40,93,42.8,5.82,50.23,-63.6
290,Shelburne,CA,5,78,71.6,3.36,44.08,-80.2
291,Petauke,ZM,0,55,63.23,3.98,-14.25,31.33
292,Kambar,PK,0,21,95.99,4.23,27.59,68.0
293,Kaitangata,NZ,0,68,54.0,8.01,-46.28,169.85
294,Chara,GR,0,87,55.4,0.22,39.42,22.43
295,Ixtapa,MX,40,74,86.0,4.7,20.71,-105.21
296,College,US,90,86,42.8,17.22,64.86,-147.8
297,Craig,US,1,37,57.2,5.44,40.52,-107.55
298,Uyemskiy,RU,40,100,30.2,2.59,64.47,40.85
299,Bilibino,RU,100,83,24.53,3.29,68.06,166.44
300,Oktyabrskoye,RU,0,66,48.2,6.71,56.73,85.44
301,Marrakesh,MA,100,73,69.8,4.7,31.63,-7.99
302,Port Hedland,AU,0,8,80.6,21.92,-20.31,118.58
303,Constitucion,MX,90,49,69.8,3.36,23.99,-104.67
304,East London,ZA,37,80,56.57,8.97,-33.02,27.91
305,Sola,TZ,55,57,65.93,4.56,-3.17,33.8
306,Kavaratti,IN,40,83,82.4,4.7,10.57,72.64
307,Zhangye,CN,6,23,64.49,2.98,38.94,100.46
308,Cockburn Town,TC,100,78,83.39,6.08,21.46,-71.14
309,Tautira,PF,40,66,84.2,9.17,-17.73,-149.15
310,Kermen,BG,5,93,42.8,4.7,42.51,26.26
311,Sibolga,ID,99,84,80.87,12.95,1.74,98.78
312,Trelew,AR,0,37,48.83,11.5,-43.25,-65.31
313,Acapulco,MX,75,78,82.4,4.7,16.86,-99.88
314,Nizwa,OM,0,44,76.19,1.95,22.93,57.53
315,Katangli,RU,18,72,55.85,16.28,51.71,143.23
316,Warmbad,DE,0,93,55.0,2.24,50.67,13.08
317,Natal,BR,40,78,78.8,13.87,-5.81,-35.21
318,Caceres,CO,100,95,64.67,2.93,5.53,-74.53
319,Otavalo,EC,75,100,55.4,5.82,0.23,-78.26
320,Beloha,MG,0,68,67.01,8.21,-25.17,45.06
321,Nampula,MZ,75,88,69.8,5.82,-15.12,39.26
322,Manggar,ID,100,56,87.53,9.64,-2.88,108.27
323,Deputatskiy,RU,50,66,37.13,4.7,69.3,139.9
324,Quatre Cocos,MU,75,77,69.8,17.22,-20.21,57.76
325,Antequera,ES,0,83,71.01,1.7,37.02,-4.56
326,La Libertad,PE,75,57,51.8,3.36,-16.38,-71.56
327,Dunedin,NZ,0,69,54.0,15.01,-45.87,170.5
328,Souillac,FR,0,77,69.01,16.11,45.6,-0.6
329,Lompoc,US,1,36,78.01,6.93,34.64,-120.46
330,Namibe,AO,86,83,65.03,8.23,-15.19,12.15
331,Tlaltenango,MX,40,52,68.0,1.52,19.17,-98.35
332,Kisoro,UG,55,83,51.53,0.4,-1.28,29.69
333,Bandarbeyla,SO,6,74,73.67,20.31,9.49,50.81
334,Pali,IN,0,63,85.01,5.28,25.77,73.33
335,Najran,SA,0,22,69.8,4.7,17.54,44.22
336,Idritsa,RU,97,94,45.41,10.29,56.33,28.9
337,Fortuna,US,40,93,64.99,10.29,40.6,-124.16
338,Sao Gabriel da Cachoeira,BR,100,98,73.67,1.63,-0.13,-67.09
339,Umm Lajj,SA,0,83,83.21,16.87,25.02,37.27
340,Katsuura,JP,75,100,77.0,12.75,33.93,134.5
341,Cayenne,GF,0,88,78.8,7.36,4.94,-52.33
342,Thurso,CA,5,77,70.0,3.36,45.6,-75.25
343,Gilgit,PK,0,28,50.45,2.66,35.92,74.31
344,North Bend,US,75,88,66.0,14.99,43.41,-124.22
345,San Patricio,PY,8,60,52.61,8.16,-26.98,-56.83
346,Vizinga,RU,98,97,33.35,3.53,61.08,50.08
347,Anadyr,RU,75,51,39.2,13.42,64.73,177.51
348,Biggar,CA,43,53,54.77,6.24,52.06,-107.98
349,Linxia,CN,48,39,56.57,5.79,35.6,103.21
350,Chicama,PE,75,87,60.8,8.05,-7.84,-79.15
351,Norman Wells,CA,40,82,55.4,11.41,65.28,-126.83
352,Fallon,US,90,71,55.4,3.36,46.84,-105.12
353,Marystown,CA,1,70,43.61,4.59,47.17,-55.16
354,Balabac,PH,100,70,85.73,9.06,7.99,117.06
355,Porto Seguro,BR,20,73,73.4,6.93,-16.44,-39.06
356,Pangoa,PE,100,99,68.09,2.28,-12.12,-73.0
357,Amberieu-en-Bugey,FR,0,68,68.0,6.93,45.96,5.34
358,Westport,US,1,68,69.01,2.13,41.14,-73.36
359,Muros,ES,75,100,63.0,8.05,42.77,-9.06
360,Fort-Shevchenko,KZ,43,65,60.17,25.68,44.51,50.26
361,Allada,BJ,100,90,75.47,4.0,6.67,2.15
362,Wanning,AT,0,81,50.0,2.24,48.64,13.53
363,Manicore,BR,71,42,85.19,2.64,-5.81,-61.3
364,Mineros,BO,75,43,73.4,13.87,-17.12,-63.23
365,Lagoa,PT,20,82,64.99,8.05,37.14,-8.45
366,Honningsvag,NO,100,91,38.57,17.02,70.98,25.97
367,Canakkale,TR,0,58,59.0,8.01,40.15,26.41
368,Saint-Augustin,CA,5,82,71.01,4.7,45.63,-73.98
369,Owando,CG,5,96,70.79,2.71,-0.49,15.91
370,Leningradskiy,RU,100,93,32.81,17.98,69.38,178.42
371,Tilichiki,RU,0,43,48.11,12.73,60.47,166.1
372,Maniitsoq,GL,100,93,38.03,15.12,65.42,-52.9
373,Stromness,CA,20,88,72.0,5.82,42.87,-79.55
374,Eenhana,NA,47,26,71.6,6.93,-17.48,16.34
375,Bathsheba,BB,75,88,78.8,32.21,13.22,-59.52
376,Kirkland Lake,CA,1,77,69.8,9.17,48.15,-80.03
377,Kapit,MY,100,88,81.59,1.63,2.02,112.94
378,Vestmannaeyjar,IS,100,87,52.07,27.76,63.44,-20.27
379,Gayny,RU,2,97,28.85,2.46,60.3,54.33
380,Lata,IN,33,66,43.07,4.76,30.78,78.62
381,Gari,RU,100,97,41.09,3.53,59.43,62.35
382,Barentu,ER,16,91,70.43,3.98,15.11,37.59
383,Nanchang,CN,0,38,78.53,13.13,28.68,115.89
384,Tete,MZ,0,68,64.4,2.91,-16.16,33.59
385,Kolpashevo,RU,100,70,45.05,10.09,58.31,82.9
386,Graaff-Reinet,ZA,98,76,54.95,2.93,-32.25,24.53
387,Ahuimanu,US,75,61,91.4,8.05,21.44,-157.84
388,Lorengau,PG,81,70,83.93,8.68,-2.02,147.27
389,La Primavera,AR,0,35,55.4,2.24,-32.92,-68.67
390,Wajir,KE,0,83,68.81,12.39,1.75,40.07
391,Byron Bay,AU,40,69,81.0,13.87,-28.65,153.62
392,Banjarmasin,ID,100,53,90.05,2.37,-3.32,114.59
393,Kloulklubed,PW,75,74,84.2,9.17,7.04,134.26
394,Minna,NG,37,92,74.21,3.31,9.62,6.55
395,Celestun,MX,0,80,83.03,20.69,20.87,-90.4
396,Sumter,US,1,82,73.99,5.77,33.92,-80.34
397,Shestakovo,RU,66,62,51.89,9.08,56.49,103.96
398,Fairbanks,US,90,86,41.0,17.22,64.84,-147.72
399,Obo,CF,100,95,66.83,0.78,5.39,26.49
400,La Romana,DO,40,94,80.6,4.21,18.43,-68.97
401,Vanimo,PG,100,77,79.61,9.46,-2.67,141.3
402,Axim,GH,10,91,75.47,6.29,4.87,-2.24
403,Fort Nelson,CA,75,55,66.2,4.7,58.81,-122.69
404,Zaria,NG,100,78,70.61,4.27,11.11,7.72
405,Klaksvik,FO,0,100,46.4,4.7,62.23,-6.59
406,Mago,RU,59,60,55.31,13.87,53.27,140.15
407,Quelimane,MZ,20,94,68.0,3.36,-17.88,36.89
408,Shigony,RU,100,96,38.75,4.59,53.39,48.68
409,Filadelfia,PY,100,41,71.69,7.54,-22.35,-60.04
410,Sakhipur,BD,75,83,82.4,5.82,24.3,90.18
411,Xining,CN,41,48,49.37,5.46,36.62,101.77
412,Ostrovnoy,RU,100,97,37.49,22.21,68.05,39.51
413,Cascais,PT,20,93,63.0,4.7,38.7,-9.42
414,Carutapera,BR,3,81,77.99,8.23,-1.2,-46.02
415,Pedernales,EC,100,86,73.67,11.34,0.07,-80.05
416,Yerbogachen,RU,73,65,46.13,13.78,61.28,108.01
417,Rumphi,MW,0,69,58.91,5.53,-11.02,33.86
418,Pszow,PL,0,81,50.0,4.7,50.04,18.39
419,Qaqortoq,GL,83,93,39.2,2.53,60.72,-46.03
420,Pevek,RU,100,90,34.79,13.38,69.7,170.27
421,Arcata,US,40,93,64.99,10.29,40.87,-124.08
422,Antofagasta,CL,75,76,57.2,6.93,-23.65,-70.4
423,Arona,IT,75,93,62.01,3.36,45.76,8.56
424,Makakilo City,US,75,61,91.4,8.05,21.35,-158.09
425,Sinnamary,GF,7,83,81.59,18.86,5.38,-52.96
426,Salaberry-de-Valleyfield,CA,5,82,71.01,4.7,45.26,-74.13
427,Pemba,MZ,20,100,75.2,4.7,-12.97,40.52
428,Dahanu,IN,52,82,81.59,18.97,19.97,72.73
429,Zabol,IR,0,13,84.29,5.26,31.03,61.49
430,Zaysan,KZ,0,21,74.75,4.43,47.47,84.87
431,Parabel,RU,100,66,44.15,12.75,58.71,81.5
432,Broome,GB,89,82,64.99,6.93,52.47,1.45
